running with 64 cores
		"Rank 21", "Broadcast input", 100.821, 100.822
	"Rank 21", "Computation", 2.363, 2.364
	"Rank 21", "Gather", 0.083, 0.083
	"Rank 21", "Free memory", 0.563, 0.563
	"Rank 21", "Finalize", 37.197, 36.323
"Rank 23", "Program", 1111.050, 478.832
	"Rank 23", "Setup", 1072.024, 440.830
		"Rank 23", "MPI Init", 969.910, 338.724
		"Rank 23", "Read input", 0.011, 0.011
		"Rank 23", "Broadcast input", 102.059, 102.058
	"Rank 23", "Computation", 2.351, 2.351
	"Rank 23", "Gather", 0.063, 0.063
	"Rank 23", "Free memory", 0.523, 0.523
	"Rank 23", "Finalize", 36.061, 35.039
"Rank 31", "Program", 1111.144, 476.139
	"Rank 31", "Setup", 1072.362, 439.491
		"Rank 31", "MPI Init", 970.090, 337.245
		"Rank 31", "Read input", 0.012, 0.012
		"Rank 31", "Broadcast input", 102.222, 102.198
	"Rank 31", "Computation", 3.069, 3.069
	"Rank 31", "Gather", 0.069, 0.070
	"Rank 31", "Free memory", 0.830, 0.830
	"Rank 31", "Finalize", 34.777, 32.645
"Rank 36", "Program", 1102.440, 589.812
	"Rank 36", "Setup", 1063.339, 552.142
		"Rank 36", "MPI Init", 960.605, 449.425
		"Rank 36", "Read input", 0.012, 0.012
"Rank 59", "Program", 1111.194, 525.185
	"Rank 59", "Setup", 1072.095, 486.906
		"Rank 59", "MPI Init", 969.344, 384.157
		"Rank 59", "Read input", 0.012, 0.012
		"Rank 59", "Broadcast input", 102.715, 102.716
	"Rank 59", "Computation", 2.325, 2.325
	"Rank 59", "Gather", 0.062, 0.062
	"Rank 59", "Free memory", 0.461, 0.461
			"Rank 36", "Broadcast input", 102.693, 102.679
	"Rank 36", "Computation", 2.549, 2.549
	"Rank 36", "Gather", 1.145, 1.146
	"Rank 36", "Free memory", 0.741, 0.741
	"Rank 36", "Finalize", 34.640, 33.211
"Rank 59", "Finalize", 36.225, 35.406
"Rank 53", "Program", 1111.334, 539.123
	"Rank 53", "Setup", 1072.715, 501.181
		"Rank 53", "MPI Init", 969.541, 398.067
		"Rank 53", "Read input", 0.013, 0.012
		"Rank 53", "Broadcast input", 103.135, 103.076
	"Rank 53", "Computation", 2.742, 2.742
	"Rank 53", "Gather", 0.101, 0.101
	"Rank 29", "Program", 1111.601, 490.725
	"Rank 29", "Setup", 1072.371, 452.566
		"Rank 29", "MPI Init", 969.930, 350.127
		"Rank 29", "Read input", 0.010, 0.010
		"Rank 29", "Broadcast input", 102.405, 102.405
	"Rank 29", "Computation", 2.990, 2.991
	"Rank 29", "Gather", 0.071, 0.071
	"Rank 29", "Free memory", 0.858, 0.858
	"Rank 29", "Finalize", 35.285, 34.216
"Rank 55", "Program", 1111.391, 513.412
	"Rank 20", "Program", 1111.723, 489.299
	"Rank 20", "Setup", 1071.222, 449.524
		"Rank 20", "MPI Init", 969.892, 348.196
		"Rank 20", "Read input", 0.034, 0.034
		"Rank 20", "Broadcast input", 101.254, 101.255
	"Rank 20", "Computation", 2.327, 2.327
	"Rank 20", "Gather", 1.906, 1.907
	"Rank 20", "Free memory", 0.546, 0.546
	"Rank 20", "Finalize", 35.692, 34.967
"Rank 53", "Free memory", 0.706, 0.707
	"Rank 53", "Finalize", 35.042, 34.366
"Rank 55", "Setup", 1072.725, 475.743
		"Rank 55", "MPI Init", 969.357, 372.375
		"Rank 55", "Read input", 0.010, 0.010
		"Rank 55", "Broadcast input", 103.331, 103.332
	"Rank 55", "Computation", 2.741, 2.741
	"Rank 55", "Gather", 0.100, 0.101
	"Rank 55", "Free memory", 0.719, 0.719
	"Rank 55", "Finalize", 35.077, 34.081
"Rank 63", "Program", 1111.450, 515.412
	"Rank 63", "Setup", 1070.695, 475.463
		"Rank 63", "MPI Init", 969.326, 374.113
		"Rank 63", "Read input", 0.012, 0.012
		"Rank 63", "Broadcast input", 101.330, 101.312
	"Rank 63", "Computation", 2.318, 2.318
	"Rank 63", "Gather", 0.072, 0.072
	"Rank 63", "Free memory", 0.562, 0.562
	"Rank 63", "Finalize", 37.775, 36.970
"Rank 57", "Program", 1111.670, 526.137
	"Rank 57", "Setup", 1072.216, 487.739
		"Rank 57", "MPI Init", 969.309, 384.835
		"Rank 57", "Read input", 0.010, 0.010
		"Rank 57", "Broadcast input", 102.861, 102.859
	"Rank 57", "Computation", 2.288, 2.289
	"Rank 57", "Gather", 0.065, 0.065
	"Rank 57", "Free memory", 0.476, 0.476
	"Rank 57", "Finalize", 36.585, 35.531
"Rank 50", "Program", 1111.763, 533.779
	"Rank 50", "Setup", 1070.251, 493.358
		"Rank 50", "MPI Init", 969.312, 392.418
		"Rank 50", "Read input", 0.012, 0.012
		"Rank 50", "Broadcast input", 100.902, 100.905
	"Rank 50", "Computation", 2.243, 2.244
	"Rank 50", "Gather", 0.589, 0.590
	"Rank 50", "Free memory", 0.558, 0.558
	"Rank 50", "Finalize", 38.093, 37.004
"Rank 18", "Program", 1111.804, 498.222
	"Rank 18", "Setup", 1071.605, 458.962
		"Rank 18", "MPI Init", 969.881, 357.258
		"Rank 18", "Read input", 0.021, 0.021
		"Rank 18", "Broadcast input", 101.667, 101.654
	"Rank 18", "Computation", 2.227, 2.227
	"Rank 18", "Gather", 0.325, 0.326
	"Rank 18", "Free memory", 0.614, 0.614
	"Rank 18", "Finalize", 37.008, 36.071
"Rank 52", "Program", 1112.089, 544.048
	"Rank 52", "Setup", 1070.322, 503.135
		"Rank 52", "MPI Init", 969.521, 402.400
		"Rank 52", "Read input", 0.012, 0.012
		"Rank 52", "Broadcast input", 100.763, 100.700
	"Rank 52", "Computation", 2.255, 2.256
"Rank 17", "Program", 1112.011, 496.826
	"Rank 17", "Setup", 1071.867, 457.347
		"Rank 17", "MPI Init", 969.903, 355.384
		"Rank 17", "Read input", 0.010, 0.010
		"Rank 17", "Broadcast input", 101.930, 101.930
	"Rank 17", "Computation", 2.329, 2.329
	"Rank 17", "Gather", 0.066, 0.066
	"Rank 17", "Free memory", 0.547, 0.547
	"Rank 17", "Finalize", 37.177, 36.513
"Rank 19", "Program", 1111.827, 484.287
	"Rank 19", "Setup", 1071.467, 444.709
		"Rank 19", "MPI Init", 969.892, 343.136
		"Rank 19", "Read input", 0.033, 0.033
		"Rank 19", "Broadcast input", 101.517, 101.517
	"Rank 19", "Computation", 2.307, 2.307
	"Rank 19", "Gather", 0.066, 0.066
	"Rank 19", "Free memory", 0.530, 0.530
	"Rank 19", "Finalize", 37.433, 36.654
	"Rank 52", "Gather", 3.640, 3.641
	"Rank 52", "Free memory", 0.456, 0.456
	"Rank 52", "Finalize", 35.389, 34.537
"Rank 25", "Program", 1111.922, 470.463
	"Rank 25", "Setup", 1071.629, 430.806
		"Rank 25", "MPI Init", 969.890, 329.080
		"Rank 25", "Read input", 0.029, 0.029
		"Rank 25", "Broadcast input", 101.677, 101.667
	"Rank 25", "Computation", 2.429, 2.429
	"Rank 25", "Gather", 0.064, 0.064
	"Rank 25", "Free memory", 0.602, 0.602
	"Rank 25", "Finalize", 37.174, 36.538
"Rank 61", "Program", 1112.207, 531.849
	"Rank 61", "Setup", 1071.498, 491.918
		"Rank 61", "MPI Init", 969.336, 389.756
		"Rank 61", "Read input", 0.010, 0.010
		"Rank 61", "Broadcast input", 102.129, 102.130
	"Rank 61", "Computation", 2.303, 2.303
	"Rank 61", "Gather", 0.064, 0.065
	"Rank 61", "Free memory", 0.500, 0.500
	"Rank 61", "Finalize", 37.816, 37.040
"Rank 26", "Program", 1112.145, 462.802
	"Rank 26", "Setup", 1071.318, 424.194
		"Rank 26", "MPI Init", 970.072, 322.950
		"Rank 26", "Read input", 0.011, 0.011
		"Rank 26", "Broadcast input", 101.207, 101.207
	"Rank 26", "Computation", 2.450, 2.450
	"Rank 26", "Gather", 0.548, 0.548
	"Rank 26", "Free memory", 0.611, 0.612
	"Rank 26", "Finalize", 37.182, 34.964
"Rank 62", "Program", 1112.172, 533.229
	"Rank 62", "Setup", 1070.942, 492.884
		"Rank 62", "MPI Init", 969.335, 391.277
		"Rank 62", "Read input", 0.011, 0.010
		"Rank 62", "Broadcast input", 101.571, 101.573
	"Rank 62", "Computation", 2.316, 2.316
	"Rank 62", "Gather", 0.308, 0.308
	"Rank 62", "Free memory", 0.487, 0.487
	"Rank 62", "Finalize", 38.094, 37.211
"Rank 27", "Program", 1112.196, 487.051
	"Rank 27", "Setup", 1071.486, 450.955
		"Rank 27", "MPI Init", 970.049, 349.529
		"Rank 27", "Read input", 0.010, 0.011
		"Rank 27", "Broadcast input", 101.399, 101.390
	"Rank 27", "Computation", 2.518, 2.519
	"Rank 27", "Gather", 0.064, 0.065
	"Rank 27", "Free memory", 0.518, 0.518
	"Rank 27", "Finalize", 37.580, 32.967
"Rank 28", "Program", 1112.241, 493.567
	"Rank 28", "Setup", 1071.492, 453.819
		"Rank 28", "MPI Init", 969.871, 352.206
		"Rank 28", "Read input", 0.013, 0.013
		"Rank 28", "Broadcast input", 101.569, 101.562
	"Rank 28", "Computation", 2.559, 2.559
	"Rank 28", "Gather", 2.105, 2.105
	"Rank 28", "Free memory", 0.547, 0.547
	"Rank 28", "Finalize", 35.507, 34.508
"Rank 16", "Program", 1112.373, 498.294
	"Rank 16", "Setup", 1072.065, 458.486
		"Rank 16", "MPI Init", 969.898, 352.891
		"Rank 24", "Program", 1112.383, 497.028
	"Rank 24", "Setup", 1071.914, 457.445
		"Rank 16", "Read input", 0.023, 0.024
		"Rank 16", "Broadcast input", 102.109, 105.539
	"Rank 16", "Computation", 2.715, 2.716
	"Rank 16", "Gather", 7.523, 7.431
	"Rank 24", "MPI Init", 969.915, 355.448
		"Rank 24", "Read input", 0.012, 0.011
		"Rank 24", "Broadcast input", 101.957, 101.957
	"Rank 24", "Computation", 2.368, 2.368
"Rank 51", "Program", 1112.353, 539.450
	"Rank 51", "Setup", 1070.460, 498.249
		"Rank 51", "MPI Init", 969.352, 397.142
		"Rank 51", "Read input", 0.011, 0.010
		"Rank 51", "Broadcast input", 101.066, 101.067
	"Rank 51", "Computation", 2.321, 2.321
	"Rank 51", "Gather", 0.076, 0.076
	"Rank 51", "Free memory", 0.528, 0.528
	"Rank 51", "Finalize", 38.940, 38.249
"Rank 16", "Free memory", 0.910, 0.910
	"Rank 16", "Finalize", 29.135, 28.728
	"Rank 24", "Gather", 2.741, 2.741
	"Rank 24", "Free memory", 0.473, 0.473
	"Rank 24", "Finalize", 34.851, 33.967
"Rank 30", "Program", 1112.435, 480.317
	"Rank 30", "Setup", 1072.371, 441.589
		"Rank 30", "MPI Init", 969.891, 339.111
		"Rank 30", "Read input", 0.030, 0.030
		"Rank 30", "Broadcast input", 102.426, 102.425
	"Rank 30", "Computation", 2.664, 2.664
	"Rank 30", "Gather", 0.683, 0.683
	"Rank 30", "Free memory", 0.686, 0.686
	"Rank 30", "Finalize", 36.006, 34.671
"Rank 58", "Program", 1112.359, 530.805
	"Rank 58", "Setup", 1071.981, 491.371
		"Rank 58", "MPI Init", 969.310, 388.704
		"Rank 58", "Read input", 0.011, 0.011
		"Rank 58", "Broadcast input", 102.631, 102.628
	"Rank 58", "Computation", 2.319, 2.319
	"Rank 58", "Gather", 0.396, 0.396
	"Rank 58", "Free memory", 0.460, 0.460
	"Rank 58", "Finalize", 37.175, 36.234
"Rank 49", "Program", 1112.541, 545.863
	"Rank 49", "Setup", 1070.519, 504.501
		"Rank 49", "MPI Init", 969.310, 403.293
		"Rank 49", "Read input", 0.012, 0.012
		"Rank 49", "Broadcast input", 101.170, 101.171
	"Rank 49", "Computation", 2.335, 2.336
	"Rank 49", "Gather", 0.065, 0.065
	"Rank 49", "Free memory", 0.525, 0.526
	"Rank 49", "Finalize", 39.065, 38.406
"Rank 54", "Program", 1112.717, 504.356
	"Rank 54", "Setup", 1072.727, 465.233
		"Rank 54", "MPI Init", 969.352, 361.868
		"Rank 54", "Read input", 0.015, 0.015
		"Rank 48", "Program", 1112.730, 509.336
	"Rank 54", "Broadcast input", 103.334, 103.327
	"Rank 54", "Computation", 2.312, 2.312
	"Rank 54", "Gather", 0.735, 0.736
	"Rank 54", "Free memory", 0.594, 0.595
"Rank 48", "Setup", 1070.470, 465.019
		"Rank 48", "MPI Init", 969.354, 359.362
			"Rank 54", "Finalize", 36.323, 35.457
"Rank 48", "Read input", 0.011, 0.011
		"Rank 48", "Broadcast input", 101.067, 105.611
	"Rank 48", "Computation", 2.331, 2.332
	"Rank 48", "Gather", 9.025, 8.934
	"Rank 48", "Free memory", 0.412, 0.412
	"Rank 48", "Finalize", 30.467, 32.617
"Rank 60", "Program", 1112.933, 527.148
	"Rank 60", "Setup", 1071.886, 487.254
		"Rank 60", "MPI Init", 969.323, 384.696
		"Rank 60", "Read input", 0.016, 0.016
		"Rank 60", "Broadcast input", 102.520, 102.519
	"Rank 60", "Computation", 2.302, 2.302
	"Rank 60", "Gather", 1.106, 1.106
	"Rank 60", "Free memory", 0.488, 0.488
	"Rank 60", "Finalize", 37.121, 35.970
"Rank 6", "Program", 1199.871, 505.776
	"Rank 6", "Setup", 1158.218, 464.748
		"Rank 6", "MPI Init", 1081.901, 390.852
		"Rank 6", "Read input", 0.014, 0.014
		"Rank 6", "Broadcast input", 76.261, 73.842
	"Rank 6", "Computation", 2.779, 2.778
	"Rank 6", "Gather", 0.395, 0.395
	"Rank 6", "Free memory", 1.472, 1.472
	"Rank 6", "Finalize", 36.972, 36.348
"Rank 56", "Program", 1121.924, 511.316
	"Rank 56", "Setup", 1072.517, 462.659
		"Rank 56", "MPI Init", 969.324, 359.470
		"Rank 56", "Read input", 0.010, 0.010
		"Rank 56", "Broadcast input", 103.158, 103.156
	"Rank 56", "Computation", 2.308, 2.308
	"Rank 56", "Gather", 1.545, 1.545
	"Rank 56", "Free memory", 0.469, 0.469
	"Rank 56", "Finalize", 45.060, 44.310
"Rank 22", "Program", 1122.167, 518.777
	"Rank 22", "Setup", 1071.878, 469.458
		"Rank 22", "MPI Init", 970.087, 367.668
		"Rank 22", "Read input", 0.011, 0.011
		"Rank 22", "Broadcast input", 101.746, 101.746
	"Rank 22", "Computation", 2.784, 2.784
	"Rank 22", "Gather", 0.396, 0.397
	"Rank 22", "Free memory", 0.706, 0.707
	"Rank 22", "Finalize", 46.373, 45.404
running with 32 cores
"Rank 19", "Program", 980.293, 470.905
	"Rank 19", "Setup", 946.858, 439.641
		"Rank 19", "MPI Init", 901.869, 394.652
		"Rank 19", "Read input", 0.009, 0.009
		"Rank 19", "Broadcast input", 44.955, 44.955
	"Rank 19", "Computation", 4.789, 4.789
	"Rank 19", "Gather", 0.098, 0.098
	"Rank 21", "Program", 980.920, 415.145
	"Rank 21", "Setup", 947.003, 382.153
		"Rank 21", "MPI Init", 902.440, 337.605
